"tarikh_kutipan","jumlah_kutipan"
2026-04-09,2751143.33
2026-04-08,2100194.83
2026-04-07,1646740.23
2026-04-06,3352152.08
2026-04-05,1408200.79
2026-04-04,70137.15
2026-04-03,105469.34
2026-04-02,1414420.85
2026-04-01,2036628.29
2026-03-31,2764090.11
2026-03-30,1473185.96
2026-03-29,60846344.62
2026-03-28,68801.93
2026-03-27,135254.14
2026-03-26,1677231.01
2026-03-25,1005780.52
2026-03-24,635132.1
2026-03-23,30589.94
2026-03-22,15658.6
2026-03-21,7805.86
2026-03-20,29711.18
2026-03-19,303839.7
2026-03-18,78245960
2026-03-17,2127220.28
2026-03-16,1740512.21
2026-03-15,21690258.02
2026-03-14,60325.62
2026-03-13,407918.9
2026-03-12,2109915.65
2026-03-11,11396704
2026-03-10,279847.5
